CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Romania,Processing,1977.0,1000 tonnes,0.0,A
Sweden,Processing,1977.0,1000 tonnes,0.0,A
Thailand,Processing,1977.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1977.0,1000 tonnes,0.0,A
Brazil,Processing,1976.0,1000 tonnes,0.0,A
Canada,Processing,1976.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1976.0,1000 tonnes,0.0,A
Denmark,Processing,1976.0,1000 tonnes,0.0,A
France,Processing,1976.0,1000 tonnes,0.0,A
Hungary,Processing,1976.0,1000 tonnes,0.0,A
Japan,Processing,1976.0,1000 tonnes,0.0,A
Romania,Processing,1976.0,1000 tonnes,0.0,A
Sweden,Processing,1976.0,1000 tonnes,0.0,A
Thailand,Processing,1976.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1976.0,1000 tonnes,0.0,A
Brazil,Processing,1975.0,1000 tonnes,0.0,A
Canada,Processing,1975.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1975.0,1000 tonnes,0.0,A
Denmark,Processing,1975.0,1000 tonnes,0.0,A
France,Processing,1975.0,1000 tonnes,0.0,A
Hungary,Processing,1975.0,1000 tonnes,0.0,A
Japan,Processing,1975.0,1000 tonnes,0.0,A
Romania,Processing,1975.0,1000 tonnes,0.0,A
Sweden,Processing,1975.0,1000 tonnes,0.0,A
Thailand,Processing,1975.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1975.0,1000 tonnes,0.0,A
Brazil,Processing,1974.0,1000 tonnes,0.0,A
Canada,Processing,1974.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1974.0,1000 tonnes,0.0,A
Denmark,Processing,1974.0,1000 tonnes,0.0,A
France,Processing,1974.0,1000 tonnes,0.0,A
Hungary,Processing,1974.0,1000 tonnes,0.0,A
Japan,Processing,1974.0,1000 tonnes,0.0,A
Romania,Processing,1974.0,1000 tonnes,0.0,A
Sweden,Processing,1974.0,1000 tonnes,0.0,A
Thailand,Processing,1974.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1974.0,1000 tonnes,0.0,A
Brazil,Processing,1973.0,1000 tonnes,0.0,A
Canada,Processing,1973.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1973.0,1000 tonnes,0.0,A
Denmark,Processing,1973.0,1000 tonnes,0.0,A
France,Processing,1973.0,1000 tonnes,0.0,A
Hungary,Processing,1973.0,1000 tonnes,0.0,A
Japan,Processing,1973.0,1000 tonnes,0.0,A
Romania,Processing,1973.0,1000 tonnes,0.0,A
Sweden,Processing,1973.0,1000 tonnes,0.0,A
Thailand,Processing,1973.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1973.0,1000 tonnes,0.0,A
Brazil,Processing,1972.0,1000 tonnes,0.0,A
Canada,Processing,1972.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1972.0,1000 tonnes,0.0,A
Denmark,Processing,1972.0,1000 tonnes,0.0,A
France,Processing,1972.0,1000 tonnes,0.0,A
Hungary,Processing,1972.0,1000 tonnes,0.0,A
